itemid,shopid,name,stock,ctime,sold,historical_sold,brand,catid,price,price_min,price_max,tier_variations
18154554586,881529905,"Áo khoác nỉ Nam Nữ phối tay CHOOSE, Áo bomber nhung tăm phối đồ cực dễ phong cách trẻ trung cá tính KN01",9966,1665675326,350,351,,100017,11900000000,11900000000,11900000000,"[{'name': 'Màu Áo', 'options': ['CHOOSE-Be', 'CHOOSE-Đen'], 'images': ['sg-11134201-22100-0y71wkw4o2iva9', 'sg-11134201-22100-ilpg2s24o2iv66'], 'properties': [], 'type': 0}]"
21654215712,593975378,"Áo khoác, áo cardigan GC họa tiết thêu con ong sang chảnh",29840,1665591803,1477,1483,,100011,15750000000,15750000000,15750000000,"[{'name': 'Màu Sắc', 'options': ['Màu Đen'], 'images': None, 'properties': [], 'type': 0}, {'name': 'SIZE', 'options': ['M', 'L', 'XL'], 'images': None, 'properties': [], 'type': 0}]"
21654215047,593975378,"Áo khoác, áo khoác lông thêu logo mikenco siêu ấm",59943,1665591381,1499,1502,,100011,18900000000,18900000000,18900000000,"[{'name': 'Màu Sắc', 'options': ['Màu Trắng', 'Màu Đen'], 'images': None, 'properties': [], 'type': 0}, {'name': 'SIZE', 'options': ['M', 'L', 'XL'], 'images': None, 'properties': [], 'type': 0}]"
20153723699,593975378,"Áo khoác, áo hoodie kéo khóa phối đính đá chữ thập hot 2022",29956,1665471342,1282,1283,,100011,18900000000,18900000000,18900000000,"[{'name': 'Mùa Sắc', 'options': ['Màu Đen'], 'images': None, 'properties': [], 'type': 0}, {'name': 'SIZE', 'options': ['M', 'L', 'XL'], 'images': None, 'properties': [], 'type': 0}]"
21154496385,593975378,"Áo khoác, áo cadigan GC in full sang chảnh",59994,1665661201,1426,1428,,100017,13500000000,13500000000,13500000000,"[{'name': 'Màu Sắc', 'options': ['Màu Đen', 'Màu Xanh'], 'images': None, 'properties': [], 'type': 0}, {'name': 'SIZE', 'options': ['M', 'L', 'XL'], 'images': None, 'properties': [], 'type': 0}]"
16687398277,593975378,"Áo khoác, áo bomber teddy chất dạ tay phối da rẻ nhất thị trường",89999,1665475549,1273,1273,,100011,21000000000,21000000000,21000000000,"[{'name': 'Màu Sắc', 'options': ['Màu Đen', 'Màu Xanh', 'Màu Đỏ'], 'images': None, 'properties': [], 'type': 0}, {'name': 'SIZE', 'options': ['M', 'L', 'XL'], 'images': None, 'properties': [], 'type': 0}]"
19553753838,593975378,"Áo khoác , áo bomber có cổ phối 2 màu đen trắng nam nữ mặc đều đẹp",29999,1665476452,1233,1233,,100017,18750000000,18750000000,18750000000,"[{'name': 'Màu Sắc', 'options': ['Màu Đen Trắng'], 'images': None, 'properties': [], 'type': 0}, {'name': 'SIZE', 'options': ['M', 'L', 'XL'], 'images': None, 'properties': [], 'type': 0}]"
20855346769,593975378,"Áo khoác, áo cadigan phối viền đỏ be sang chảnh nam nữ mặc đều đẹp",29994,1665996315,1278,1278,,100011,16100000000,16100000000,16100000000,"[{'name': 'Màu Sắc', 'options': ['Màu Đen'], 'images': None, 'properties': [], 'type': 0}, {'name': 'SIZE', 'options': ['M', 'L', 'XL'], 'images': None, 'properties': [], 'type': 0}]"
19054229295,593975378,"Áo khoác , áo bomber THOMER 4 vạch phối tay da sang chảnh",29997,1665596633,1260,1260,,100011,18750000000,18750000000,18750000000,"[{'name': 'Màu Sắc', 'options': ['Màu Đen'], 'images': None, 'properties': [], 'type': 0}, {'name': 'SIZE', 'options': ['M', 'L', 'XL'], 'images': None, 'properties': [], 'type': 0}]"
21753738582,593975378,"Áo khoác , áo cardigan Thome  đơn giản sang chảnh chất len tăm sang sịn",59992,1665474195,1457,1458,,100011,15000000000,15000000000,15000000000,"[{'name': 'Màu Sắc', 'options': ['Màu Xám', 'Màu Đen'], 'images': None, 'properties': [], 'type': 0}, {'name': 'SIZE', 'options': ['M', 'L', 'XL'], 'images': None, 'properties': [], 'type': 0}]"
23600133237,593975378,"Áo khoác , áo hoodie zip thêu viền trắng full khóa đến mũ nam nữ mặc đều đẹp",29989,1665662197,1505,1505,,100017,15000000000,15000000000,15000000000,"[{'name': '·Màu sắc', 'options': ['Màu Đen'], 'images': None, 'properties': [], 'type': 0}, {'name': 'SIZE', 'options': ['M', 'L', 'XL'], 'images': None, 'properties': [], 'type': 0}]"
