name,country,follower_count,products,shopid,ctime,rating_normal,rating_bad,rating_good,item_count,rating_star,shop_location,response_time,response_rate
68.Teesshop,VN,631,5,881529905,1665500965,1,2,8,5,3.909091,Hà Nội,13941.0,1
HN-LUXURY,VN,325,23,593975378,1637057339,3,4,519,23,4.84472,Nam Định,2408.0,82
Junny6868,VN,1282,30,494847570,1626947858,38,16,461,30,4.603883,TP. Hồ Chí Minh,,1
Hoodies24h,VN,852,9,877178625,1664946184,1,2,22,9,4.44,Hà Nội,9138.0,7
Kenta38,VN,5000,8,875285529,1664681036,4,2,21,8,4.333333,Hà Nội,10195.0,4
LeTissu.234,VN,179,70,294562609,1596945896,45,26,1290,70,4.711735,Hải Dương,884.0,81
Hopeshopz,VN,218,12,697006739,1645621692,1,3,59,12,4.730159,Hà Nội,12435.0,2
Thenhatsneaker,VN,8930,109,69101124,1526065750,189,244,2103,109,4.334609,Hải Dương,12856.0,36
Ao_Bomber_Hoodie_68,VN,64,31,881273624,1665473102,0,3,659,31,4.952381,Hải Dương,1822.0,68
bingbing.official,VN,65757,187,237033806,1584529840,141,67,35641,187,4.943187,TP. Hồ Chí Minh,5185.0,95
Lilyshopz,VN,254,12,706206910,1646363952,2,2,68,12,4.732394,Hà Nội,13349.0,3
DepLeBaoBinhShop33.4,VN,1417,72,430577475,1619364960,335,375,2718,72,4.232737,Hải Dương,15985.0,44
Denim4u,VN,869,11,644920599,1641227119,38,11,303,11,4.552707,Hà Nội,11264.0,3
Shop Giày Linh Ni,VN,4414,29,130148136,1551426172,16,2,1136,29,4.887517,Hà Nội,14159.0,93
Tomiihouse,VN,644,10,644856433,1641222435,21,32,180,10,4.138528,Hà Nội,10197.0,4
bossluxury.store,VN,557,15,543437163,1632193447,0,0,122,15,5.0,Hà Nội,4600.0,92
Tiny Clothes,VN,111170,99,161050540,1562508089,1233,280,49831,99,4.862175,Hà Nội,3551.0,100
newhoodie2022,VN,254,22,613901940,1638697613,4,1,76,22,4.777778,TP. Hồ Chí Minh,,9
giare01,VN,97132,552,18358096,1489714132,2295,1209,39322,552,4.705274,Nam Định,9964.0,60
Skygenz,VN,485,10,680168325,1644218261,5,4,74,10,4.578313,Hà Nội,14314.0,1
Giày Dép Nam Nữ Genz,VN,14294,52,130225139,1551446965,309,168,11618,52,4.76925,Hà Nội,4375.0,97
AESHOP0707,VN,117,21,16771696,1487396707,0,6,2845,21,4.967391,Nam Định,10347.0,63
h-h.1088,VN,4,20,841425393,1660462905,0,2,105,20,4.842105,Hải Dương,6837.0,77
HEMS FASHION,VN,125729,114,40021101,1508773469,975,421,29620,114,4.817804,Thái Bình,4561.0,99
Ourtelity.Store,VN,646,6,882405529,1665625952,0,0,8,6,5.0,Hà Nội,8133.0,3
Butadienz,VN,271,11,702302028,1646057934,2,1,63,11,4.787879,Hà Nội,15306.0,3
Chumini,VN,7148,20,517027076,1629515774,0,0,727,20,4.964789,Nam Định,11692.0,85
PinkTop5,VN,11675,15,537788310,1631599201,357,220,3938,15,4.540292,Hà Nội,13668.0,17
SamsamShopx,VN,594,11,593341048,1636996852,61,49,467,11,4.332162,Hà Nội,13636.0,14
Timshopxz,VN,410,10,761876242,1651459617,2,2,67,10,4.728571,Hà Nội,5987.0,2
Winter.OfficialStore,VN,3017,17,524992096,1630379372,0,0,23,17,5.0,Hà Nội,,57
1hitshop,VN,1267416,222,71861331,1527523525,9524,1828,932533,222,4.940644,TP. Hồ Chí Minh,963.0,99
yinx88store,VN,270,16,634525912,1640279054,3,9,64,16,4.381579,TP. Hồ Chí Minh,,2
Kitmistore,VN,1110,9,662451722,1642691780,9,13,154,9,4.514286,Hà Nội,16307.0,7
DShine12,VN,1253,6,880793399,1665412160,0,0,7,6,5.0,Hà Nội,5466.0,3
Tee-Ayy F1,VN,1668,13,852155549,1661747592,17,6,298,13,4.718978,Hà Nội,16759.0,45
Lowkey..Shop,VN,510,6,881548057,1665503140,0,0,5,6,5.0,Hà Nội,9463.0,1
Nhuys_Store,VN,9,20,86428627,1535354166,0,0,20,20,5.0,Nam Định,,57
Xưởng Thời Trang MoMoStore,VN,6675,69,293904210,1596816573,44,20,1012,69,4.787028,Hà Nội,6788.0,92
Suneoshopm,VN,559,11,739028633,1649079209,9,19,121,11,4.243243,Hà Nội,15260.0,8
SuperStorm Store,VN,43049,111,63168762,1522508589,575,175,15731,111,4.814008,TP. Hồ Chí Minh,6510.0,98
winter_gen29,VN,7,36,827267420,1658840884,1,1,142,36,4.891892,Hải Dương,9662.0,73
Bomber.Studio,VN,1184,2,876929504,1664904284,1,0,12,2,4.692308,Hà Nội,21751.0,1
GUVIA,VN,104698,297,343766038,1606147691,1005,289,89960,297,4.932403,TP. Hồ Chí Minh,7642.0,91
Jeandeyne,VN,596,10,645938624,1641311754,6,0,79,10,4.694118,Hà Nội,3382.0,2
Jaylei.Store,VN,575,6,880892076,1665421585,0,0,5,6,5.0,Hà Nội,8762.0,5
Zasavyz,VN,438,10,760550179,1651287093,8,5,79,10,4.445652,Hà Nội,11323.0,2
thoitrangbonmua01,VN,765,18,501816036,1627831109,0,0,162,18,5.0,Hà Nội,,57
