itemid,shopid,product_name,stock,sold,historical_sold,brand,catid,price,price_min,price_max,shop_name,follower_count,products,rating_normal,rating_bad,rating_good,item_count,rating_star,response_time,response_rate,Unisex,Female,Male,color,size,kimono,kaki,jean,bomber,cardigan,sơ mi,gió/dù/jacket,blazer,croptop/gile,thể thao,áo khoác phao/áo phao,nỉ/hoodie,denim,dạ/lông,len,da,chống nắng,thun,lửng,time_summer,time_winter,location_encoded
18154554586,881529905,"Áo khoác nỉ Nam Nữ phối tay CHOOSE, Áo bomber nhung tăm phối đồ cực dễ phong cách trẻ trung cá tính KN01",9966,350,351,0,100017,1190000,1190000,1190000,68.Teesshop,631,5,1,2,8,5,3.909091,13941.0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1555602,325.87231721896677
21654215712,593975378,"Áo khoác, áo cardigan GC họa tiết thêu con ong sang chảnh",29840,1477,1483,0,100011,1575000,1575000,1575000,HN-LUXURY,325,23,3,4,519,23,4.84472,2408.0,82,1,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1639125,671.5622894395854
21654215047,593975378,"Áo khoác, áo khoác lông thêu logo mikenco siêu ấm",59943,1499,1502,0,100011,1890000,1890000,1890000,HN-LUXURY,325,23,3,4,519,23,4.84472,2408.0,82,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1639547,673.3448772366089
20153723699,593975378,"Áo khoác, áo hoodie kéo khóa phối đính đá chữ thập hot 2022",29956,1282,1283,0,100011,1890000,1890000,1890000,HN-LUXURY,325,23,3,4,519,23,4.84472,2408.0,82,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1759586,621.236538513043
21154496385,593975378,"Áo khoác, áo cadigan GC in full sang chảnh",59994,1426,1428,0,100017,1350000,1350000,1350000,HN-LUXURY,325,23,3,4,519,23,4.84472,2408.0,82,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1569727,649.8831280559099
16687398277,593975378,"Áo khoác, áo bomber teddy chất dạ tay phối da rẻ nhất thị trường",89999,1273,1273,0,100011,2100000,2100000,2100000,HN-LUXURY,325,23,3,4,519,23,4.84472,2408.0,82,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1755379,649.8831280559099
19553753838,593975378,"Áo khoác , áo bomber có cổ phối 2 màu đen trắng nam nữ mặc đều đẹp",29999,1233,1233,0,100017,1875000,1875000,1875000,HN-LUXURY,325,23,3,4,519,23,4.84472,2408.0,82,1,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1754476,671.5622894395854
20855346769,593975378,"Áo khoác, áo cadigan phối viền đỏ be sang chảnh nam nữ mặc đều đẹp",29994,1278,1278,0,100011,1610000,1610000,1610000,HN-LUXURY,325,23,3,4,519,23,4.84472,2408.0,82,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1234613,671.5622894395854
21753738582,593975378,"Áo khoác , áo cardigan Thome  đơn giản sang chảnh chất len tăm sang sịn",59992,1457,1458,0,100011,1500000,1500000,1500000,HN-LUXURY,325,23,3,4,519,23,4.84472,2408.0,82,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1756733,649.8831280559099
23600133237,593975378,"Áo khoác , áo hoodie zip thêu viền trắng full khóa đến mũ nam nữ mặc đều đẹp",29989,1505,1505,0,100017,1500000,1500000,1500000,HN-LUXURY,325,23,3,4,519,23,4.84472,2408.0,82,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1568731,673.3448772366089
21753724360,593975378,"Áo Khoác , áo Hoodie đính đinh viền khóa zip siêu cháy",29999,1439,1439,0,100011,1875000,1875000,1875000,HN-LUXURY,325,23,3,4,519,23,4.84472,2408.0,82,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1759084,673.3448772366089
18837460958,494847570,Áo Khoác Nỉ Bomber Cardigan Form Rộng Chất Nỉ Ngoại Dày Dặn Nữ Unisex mẫu hot 2022,32000,0,2110,0,100017,258000,258000,1290000,Junny6868,1282,30,38,16,461,30,4.603883,,1,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3472897,2529000,191.13745371984197
18752036174,877178625,"Áo khoác nỉ hoodie NI01, áo boomber form rộng oversize unisex Siêu Phẩm mùa Đông 2022",21493,1573,1575,0,100017,980000,980000,1190000,Hoodies24h,852,9,1,2,22,9,4.44,9138.0,7,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2281944,329.5219575852767
20652145004,877178625,Áo khoác nỉ nam nữ from rộng unisex,24754,2,2,0,100017,840000,840000,990000,Hoodies24h,852,9,1,2,22,9,4.44,9138.0,7,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2263183,339.78366065839884
